Distance,Speed,nGear,X,Y,Driver
1470.2272222222211,175.0,4,-226.672639026822,-1053.3053667836678,LEC
1477.1191076244972,183.64499584,4,-234.0,-1119.0,LEC
1480.6716666666657,188.0,4,-237.82851844817623,-1153.600368889597,LEC
1491.125210011892,193.85041654965835,4,-249.0,-1257.0,LEC
1500.1145748981542,198.7257636743736,4,-258.0,-1345.0,LEC
1500.6269444444433,199.0,5,-258.5200058298629,-1350.0117562776481,LEC
1514.5602777777767,209.0,5,-273.226941450504,-1486.9272306055416,LEC
1515.27126201484,209.33855792580655,5,-274.0,-1494.0,LEC
1526.0398234911029,214.38871545806336,5,-286.0,-1600.0,LEC
1533.8774999999991,218.0,5,-295.98427942749026,-1671.200009126587,LEC
1537.0860268252657,219.56,5,-303.0,-1707.0,LEC
1546.3219444444433,224.0,5,-336.7952982540178,-1844.9354147907716,LEC
1553.4601593770647,226.8,5,-362.0,-1939.0,LEC
1569.6219444444432,233.0,6,-389.4705248773125,-2028.3185831747728,LEC
1573.0410577352898,234.08333333333334,6,-397.0,-2050.0,LEC
1585.48861111111,238.0,6,-437.75905279696906,-2167.338652187733,LEC
1590.2978262503125,239.2,6,-454.0,-2213.0,LEC
1601.6219444444434,242.0,6,-491.14806728968364,-2311.8243404086943,LEC
1603.8657987065608,242.68749866666667,6,-502.0,-2339.0,LEC
1617.5342337719705,246.83333333333334,6,-591.0,-2555.0,LEC
1618.0886111111101,247.0,6,-594.1270544142814,-2562.460705026787,LEC
1637.6886111111098,252.0,6,-655.8518873092847,-2702.5927647615254,LEC
1648.977499999999,254.0,6,-682.9168665423305,-2757.4823317514506,LEC
1651.2443590974933,254.4,6,-690.0,-2772.0,LEC
1660.3552777777766,256.0,6,-723.8996592008792,-2841.8698558294145,LEC
1669.8562812960208,258.2,6,-782.0,-2939.0,LEC
1677.68861111111,260.0,6,-857.7637184518705,-3041.5373172020363,LEC
1690.2340399507373,261.84285714285716,6,-992.0,-3205.0,LEC
1698.1441666666658,263.0,7,-1050.517773907643,-3270.0748376942424,LEC
1721.6997222222215,265.0,7,-1157.2334843442225,-3347.4094251221177,LEC
1725.6224580442633,265.6624992,7,-1184.0,-3364.0,LEC
1733.5663888888878,267.0,7,-1249.8702717575306,-3405.103294282525,LEC
1740.5053880329945,267.8718744,7,-1312.0,-3442.0,LEC
1752.4399419845715,269.3625,7,-1420.0,-3498.0,LEC
1757.5663888888878,270.0,7,-1477.3419800108295,-3525.5355576451507,LEC
1772.1848082000845,272.06785645714285,7,-1654.0,-3608.0,LEC
1778.7997222222211,273.0,7,-1713.829424917561,-3636.4644077108146,LEC
1797.1330555555546,275.0,7,-1829.766059000042,-3694.2353492761695,LEC
1802.7537242301892,276.09499904,7,-1873.0,-3716.0,LEC
1812.5774999999987,278.0,7,-1961.51679372373,-3760.5557980562585,LEC
1815.1363837920487,278.2062496,7,-1984.0,-3772.0,LEC
1832.2493757561106,279.5812496,7,-2134.0,-3849.0,LEC
1837.4663888888876,280.0,7,-2202.0580088298607,-3882.62200572444,LEC
1849.3795982766799,280.54642834285715,7,-2372.0,-3965.0,LEC
1859.3219444444433,281.0,7,-2462.887778854061,-4007.9721198712655,LEC
1878.3219444444435,285.0,7,-2558.1340511902563,-4048.3894940142177,LEC
1882.5311911571903,285.22083306666667,7,-2589.0,-4061.0,LEC
1895.2445231073154,285.88749973333336,7,-2706.0,-4108.0,LEC
1897.3886111111103,286.0,7,-2726.5268680338954,-4115.878430508181,LEC
1919.6330555555548,286.0,7,-2937.120453813346,-4189.132324320189,LEC
1922.26769250123,286.4124992,7,-2962.0,-4197.0,LEC
1932.4330555555546,288.0,7,-3058.410660737589,-4225.920789361666,LEC
1935.0768934955345,287.32653182063046,7,-3084.0,-4233.0,LEC
1952.6148546119996,282.85714211078704,7,-3255.0,-4274.0,LEC
1966.6105555555548,279.0,7,-3384.448221953559,-4298.128467476489,LEC
1971.4805200522248,268.6909090909091,7,-3453.0,-4308.0,LEC
1981.3341146378255,245.92499083636363,7,-3642.0,-4332.0,LEC
1993.0105555555547,216.0,7,-3732.212860095921,-4341.410519883493,LEC
1999.8032498583702,199.57366298208643,7,-3765.0,-4344.0,LEC
2008.6061111111103,176.0,7,-3855.3136694445375,-4353.400823117569,LEC
2009.117763365349,174.56666666666666,7,-3861.0,-4354.0,LEC
2016.7682156899514,150.67777777777778,7,-3943.0,-4363.0,LEC
2021.9061111111102,133.0,7,-3996.658680033867,-4371.0096199299105,LEC
2023.0357065610178,131.21250346666667,7,-4008.0,-4373.0,LEC
